context,question,id,answer_start,text
第三章決標，第七十九條  ，本法第五十八條所稱總標價偏低，指下列情形之一：一、訂有底價之採購，廠商之總標價低於底價百分之八十者。二、未訂底價之採購，廠商之總標價經評審或評選委員會認為偏低者。三、未訂底價且未設置評審委員會或評選委員會之採購，廠商之總標價低於預算金額或預估需用金額之百分之七十者。預算案尚未經立法程序者，以預估需用金額計算之。,哪些情況屬採購法第58條所稱總標價或部分標價偏低之情形？,valid_ 1,39,訂有底價之採購，廠商之總標價低於底價百分之八十者
最有利標評選辦法，第十條 ，評選最有利標，為利評選委員對廠商於各評選項目之表現為更深入之瞭解，得輔以廠商簡報及現場詢答。前項廠商簡報及現場詢答，應與評選項目有關；其列為評選項目者，所占配分或權重不得逾百分之二十。第一項簡報不得更改廠商投標文件內容。廠商另外提出變更或補充資料者，該資料應不納入評選。投標廠商未出席簡報及現場詢答者，不影響其投標文件之有效性。,辦理最有利標，將廠商簡報及現場詢答列為評選項目者，所占配分或權重不得逾？,valid_ 3,100,百分之二十
機關委託技術服務廠商評選及計費辦法，第二十五條 ，機關委託廠商辦理技術服務，其服務費用之計算，應視技術服務類別、性質、規模、工作範圍、工作區域、工作環境或工作期限等情形，就下列方式擇定一種或二種以上符合需要者訂明於契約：一、服務成本加公費法。二、建造費用百分比法。三、按月、按日或按時計酬法。四、總包價法或單價計算法。依前項計算之服務費用，應參酌一般收費情形核實議定。其必須核實另支費用者，應於契約內訂明項目及費用範圍。,何者計費方式不適用於單獨規劃服務之採購？,valid_ 4,123,建造費用百分比法
採購申訴審議收費辦法，第四條 ，前條審議費，每一申訴事件為新臺幣三萬元，由申訴廠商以現金、公庫支票、郵政匯票、金融機構簽發之即期本票、支票或保付支票繳納。,政府採購申訴案件每一案件之收費（新臺幣）為？,valid_ 7,32,三萬元
機關邀請或委託文化藝術專業人士機構團體提供藝文服務作業辦法條文，第四條 ，機關辦理藝文服務採購，符合下列情形之一者，得不經公告審查程序辦理：一、敘明邀請或委託對象之名稱、具專業素養、特質之情形及不經公告審查程序逕行邀請或委託之理由，經機關首長或其授權人員核准。二、駐國外機構依條約、協定，或同意書、盟約、瞭解備忘錄換函、照會、議定書等辦理之文化交流活動及相關合作計畫，經機關首長或其授權人員核准。巨額藝文服務採購不經公告審查程序辦理者，應由機關邀集機關人員二人及文化、藝術領域之專家學者七人開會審查，經三分之二以上人員出席，出席人員三分之二以上審查通過，簽報機關首長或其授權人員核准。,機關辦理採購以最有利標決標，成立評選委員會時若委員共5人，則專家學者人數至少為幾人？,valid_ 8,228,二人
第二章招標，第三十四條，機關辦理採購，其招標文件於公告前應予保密。但須公開說明或藉以公開徵求廠商提供參考資料者，不在此限。機關辦理招標，不得於開標前洩漏底價，領標、投標廠商之名稱與家數及其他足以造成限制競爭或不公平競爭之相關資料。底價於開標後至決標前，仍應保密，決標後除有特殊情形外，應予公開。但機關依實際需要，得於招標文件中公告底價。機關對於廠商投標文件，除供公務上使用或法令另有規定外，應保守秘密。,何者非屬政府採購錯誤行為態樣之一？,valid_ 13,163,公告底價
第一章總則，第 八 條  ，機關辦理查核金額以上採購之決標，其決標不與開標、比價或議價合併辦理者，應於預定決標日三日前，檢送審標結果，報請上級機關派員監辦。前項決標與開標、比價或議價合併辦理者，應於決標前當場確認審標結果，並列入紀錄。,何者不是採購法規定上級機關應監辦之事項？,valid_ 17,62,審標
第三章決標，第四十九條之一  ，公開招標、選擇性招標及限制性招標之比價，其招標文件所標示之開標時間，為等標期屆滿當日或次一上班日。但採分段開標者，其第二段以後之開標，不適用之。,機關辦理公開招標，採不分段開標者，其招標文件所標示之開標時間，何者正確？,valid_ 22,50,為等標期屆滿當日或次一上班日
採購評選委員會審議規則，第九條 ，本委員會會議，應有委員總額二分之一以上出席，其決議應經出席委員過半數之同意行之。出席委員中之專家、學者人數應至少二人且不得少於出席人數之三分之一。本委員會委員有第十四條情形或其他原因未能繼續擔任委員，致委員總額或專家、學者人數未達本法第九十四條第一項關於人數之規定者，應另行遴選委員補足之。第一項會議表決時，主席得命本委員會以外之人員退席。但不包括應全程出席之承辦人員。第一項會議，應作成紀錄，由出席委員全體簽名。,採購評選委員會中之專家學者人數不得少於委員總人數之幾分之幾？,valid_ 25,85,三分之一
中央機關未達公告金額採購招標辦法，第二條 1，未達公告金額採購之招標，其金額逾公告金額十分之一者，得以下列方式之一辦理：一、符合本法第二十二條第一項第一款至第十五款所定情形之一者，得採限制性招標。三、依本法第四十九條之規定，將公開徵求廠商提供書面報價或企劃書之公告，公開於主管機關之資訊網路或刊登於政府採購公報，以取得三家以上廠商之書面報價或企劃書，擇符合需要者辦理比價或議價。第一項第三款規定情形，機關得於公告或招標文件中訂明開標時間地點，並於開標後當場審查，逕行辦理決標。,機關辦理經常性採購，其依採購法第49條規定，將公開徵求廠商提供書面報價或企劃書之公告，公開於主管機關之資訊網路或刊登於政府採購公報，第1次應取得幾家以上廠商之書面報價或企劃書，擇符合需要者辦理比價或議價？,valid_ 31,159,三家
招標期限標準，第九條 ，機關辦理採購，除我國締結之條約或協定另有規定者外，其等標期得依下列情形縮短之：一、於招標前將招標文件稿辦理公開鬩覽且招標文件内容未經重大改變者，等標期得縮短五日。但縮短後不得少於十日。二、依本法第九十三條之一規定辦理電子領標並於招標公告斂明者，等標期得縮短三日。但縮短後不得少於五日。三、依本法第九十三條之一規定辦理電子投標並於招標公告或招標文件斂明者，等標期得縮短二日。但縮短後不得少於五日。,機關辦理招標文件公開閱覽，未採網路電子化閱覽者，應於上班時間內為之，並不得少於幾日？,valid_ 36,90,五日
