Chapter,Clause,Content,Length
中央機關未達公告金額採購招標辦法,第一條 ,本辦法依政府採購法(以下簡稱本法)第二十三條規定訂定之。,28
中央機關未達公告金額採購招標辦法,第二條 1,未達公告金額採購之招標，其金額逾公告金額十分之一者，得以下列方式之一辦理：一、符合本法第二十二條第一項第一款至第十五款所定情形之一者，得採限制性招標。三、依本法第四十九條之規定，將公開徵求廠商提供書面報價或企劃書之公告，公開於主管機關之資訊網路或刊登於政府採購公報，以取得三家以上廠商之書面報價或企劃書，擇符合需要者辦理比價或議價。第一項第三款規定情形，機關得於公告或招標文件中訂明開標時間地點，並於開標後當場審查，逕行辦理決標。,215
中央機關未達公告金額採購招標辦法,第二條 2,未達公告金額採購之招標，其金額逾公告金額十分之一者，得以下列方式之一辦理：二、符合本法第二十二條第一項第十六款所定情形，經需求、使用或承辦採購單位就個案敘明邀請指定廠商比價或議價之適當理由，簽報機關首長或其授權人員核准者，得採限制性招標，免報經主管機關認定。上級機關對於機關依前項第二款規定辦理者，得視需要訂定較嚴格之適用規定或授權條件。,169
中央機關未達公告金額採購招標辦法,第三條 ,機關依前條第一項第三款規定辦理第一次公告結果，未能取得三家以上廠商之書面報價或企劃書者，得經機關首長或其授權人員核准，改採限制性招標。其辦理第二次公告者，得不受三家廠商之限制。,88
中央機關未達公告金額採購招標辦法,第四條 ,機關邀請廠商提出書面報價或企劃書，其於主管機關資訊網路之公告已包括廠商提出書面報價或企劃書所需之一切資料者，得免另備招標文件；其於擇定符合需要者進行比價或議價前之程序，除公告或招標文件已訂明開標時間地點者外，不適用本法開標及監辦程序。機關邀請廠商提出書面報價或企劃書，得允許廠商以傳真或電子資料傳輸方式遞送，並視需要於審查後通知擇定之廠商遞送正式文件。前項通知結果，遞送正式文件之廠商未達三家者，得經機關首長或其授權人員核准，改採限制性招標。,221
中央機關未達公告金額採購招標辦法,第五條 ,公告金額十分之一以下採購之招標，得不經公告程序，逕洽廠商採購，免提供報價或企劃書。,41
中央機關未達公告金額採購招標辦法,第五條之一,機關辦理位於原住民地區未達公告金額之採購，應符合原住民族工作權保障法第十一條之規定。,42
中央機關未達公告金額採購招標辦法,第六條 ,機關不得意圖規避本辦法之適用，分批辦理未達公告金額但逾公告金額十分之一之採購。,39
中央機關未達公告金額採購招標辦法,第七條 ,本辦法自中華民國八十八年五月二十七日施行。本辦法修正條文自發布日施行。,35
共同供應契約實施辦法,第一條 ,本辦法依政府採購法（以下簡稱本法）第九十三條第二項規定訂定之。,31
